debugBuffer1[578], 0x0000002C,
debugBuffer1[579], 0x0000002C,
debugBuffer1[580], 0x0000002A,
debugBuffer1[581], 0x0000002B,
debugBuffer1[582], 0x0000002B,
debugBuffer1[583], 0x0000002C,
debugBuffer1[584], 0x0000002C,
debugBuffer1[585], 0x0000002B,
debugBuffer1[586], 0x0000002C,
debugBuffer1[587], 0x0000002B,
debugBuffer1[588], 0x0000002C,
debugBuffer1[589], 0x0000002A,
debugBuffer1[590], 0x0000002C,
debugBuffer1[591], 0x0000002B,
debugBuffer1[592], 0x0000002C,
debugBuffer1[593], 0x0000002A,
debugBuffer1[594], 0x0000002B,
debugBuffer1[595], 0x0000002D,
debugBuffer1[596], 0x0000002C,
debugBuffer1[597], 0x0000002B,
debugBuffer1[598], 0x0000002C,
debugBuffer1[599], 0x0000002B,
debugBuffer1[600], 0x0000002C,
debugBuffer1[601], 0x0000002C,
debugBuffer1[602], 0x0000002C,
debugBuffer1[603], 0x0000002C,
debugBuffer1[604], 0x0000002B,
debugBuffer1[605], 0x0000002C,
debugBuffer1[606], 0x0000002C,
debugBuffer1[607], 0x0000002C,
debugBuffer1[608], 0x0000002A,
debugBuffer1[609], 0x0000002B,
debugBuffer1[610], 0x0000002C,
debugBuffer1[611], 0x0000002B,
debugBuffer1[612], 0x0000002C,
debugBuffer1[613], 0x0000002B,
debugBuffer1[614], 0x0000002D,
debugBuffer1[615], 0x0000002B,
debugBuffer1[616], 0x0000002D,
debugBuffer1[617], 0x0000002C,
debugBuffer1[618], 0x0000002B,
debugBuffer1[619], 0x0000002C,
debugBuffer1[620], 0x0000002C,
debugBuffer1[621], 0x0000002B,
debugBuffer1[622], 0x0000002C,
debugBuffer1[623], 0x0000002C,
debugBuffer1[624], 0x0000002C,
debugBuffer1[625], 0x0000002B,
debugBuffer1[626], 0x0000002B,
debugBuffer1[627], 0x0000002B,
debugBuffer1[628], 0x0000002B,
debugBuffer1[629], 0x0000002C,
debugBuffer1[630], 0x0000002B,
debugBuffer1[631], 0x0000002C,
debugBuffer1[632], 0x0000002C,
debugBuffer1[633], 0x0000002B,
debugBuffer1[634], 0x0000002D,
debugBuffer1[635], 0x0000002A,
debugBuffer1[636], 0x0000002B,
debugBuffer1[637], 0x0000002C,
debugBuffer1[638], 0x0000002C,
debugBuffer1[639], 0x0000002A,
debugBuffer1[640], 0x0000002C,
